source_id,status,reason,url,title,author,institution,date,format,original_work,edition,chapter,collection,license_conditions,content_sha256,landing_sha256,role,family_id,relationship_existing,topic_provisional,evidence_path,commit,processing_version
S07,blocked,503 Server Error: Service Unavailable for url: https://www.upo.es/revistas/index.php/americania/article/view/1401,https://www.upo.es/revistas/index.php/americania/article/view/1401,UNKNOWN,UNKNOWN,www.upo.es,UNKNOWN,metadata,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,,annotation_pool,family-S07,No identity established; shared citations are not proof of independence or duplication.,prensa y Cádiz,outputs\beto-v2\corpus\S07\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S08,blocked,No explicit reuse license on landing; full-text acquisition deferred,https://revistas.cultura.gob.pe/index.php/historiaycultura/article/view/305,"Monarquismo, regionalismo y rebelión en el Perú colonial, 1808-1815",John Fisher,revistas.cultura.gob.pe,1982/12/01,metadata,"Monarquismo, regionalismo y rebelión en el Perú colonial, 1808-1815",UNKNOWN/15,whole article/video; UNKNOWN for unacquired resource,Historia y Cultura,UNKNOWN; no redistribution authorized,,94e4604fc4312053fbad684e030a0ab6358f4caa69cda275d2963af6232ec23b,annotation_pool,family-S08,No identity established; shared citations are not proof of independence or duplication.,monarquismo y rebelión regional,outputs\beto-v2\corpus\S08\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S09,accepted_reserved_provisional,Reserved; landing CC BY 4.0/footer BY 3.0 conflicts with PDF BY-NC-SA 4.0. No redistribution. Author cites her 2016 chapter in the collection containing existing Huamanga chapter: independence pending comparison.,https://historiaregional.org/ojs/index.php/historiaregional/article/view/883,Cusco en el contexto de la independencia: 1780-1814,Margareth Najarro Espinoza,historiaregional.org,2024,pdf,Cusco en el contexto de la independencia: 1780-1814,UNKNOWN/51,whole article/video; UNKNOWN for unacquired resource,Historia Regional,http://creativecommons.org/licenses/by/3.0/ | https://creativecommons.org/licenses/by/4.0/,7ada561a5ab11940fa474cf0909aeb57e4e4592e8254de101eaeb6cd845bf03e,983485b4d4123bd83bc2b56a09ed4d7aaa96777d3614ec61bf9c51fb50f06f42,reserved_candidate,family-S09,Reserved; landing CC BY 4.0/footer BY 3.0 conflicts with PDF BY-NC-SA 4.0. No redistribution. Author cites her 2016 chapter in the collection containing existing Huamanga chapter: independence pending comparison.,Cusco 1780-1814,outputs\beto-v2\corpus\S09\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S10,accepted_unlabeled,Whole work spans nineteenth century; selected pages discuss 1825/1827. Adjacent context is not automatically in scope.,https://revistas.pucp.edu.pe/index.php/historica/article/view/234,Libros escolares y educación primaria en la ciudad de Lima durante el siglo XIX,Grover Antonio Espinoza Ruiz,revistas.pucp.edu.pe,2007/03/12,pdf,Libros escolares y educación primaria en la ciudad de Lima durante el siglo XIX,31/1,whole article/video; UNKNOWN for unacquired resource,Histórica,https://creativecommons.org/licenses/by/4.0/,850bbe8e497d195d16ddf1c541875ffe2fd31de68daa4cbc451e0fec32f795b7,105b6676f98a3ee6a875016fb65d92d71ddf82f6665159f411e9e5bca6d3195d,annotation_pool,family-S10,Whole work spans nineteenth century; selected pages discuss 1825/1827. Adjacent context is not automatically in scope.,educación y construcción estatal; filtrar 1821-1842,outputs\beto-v2\corpus\S10\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S11,blocked,Web reader denied by robots; do not circumvent or download via alternate route in this batch,https://revistasinvestigacion.unmsm.edu.pe/index.php/sociales/article/view/17484,UNKNOWN,UNKNOWN,revistasinvestigacion.unmsm.edu.pe,UNKNOWN,metadata,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,,candidate,family-S11,No identity established; shared citations are not proof of independence or duplication.,prensa y Congreso 1822,outputs\beto-v2\corpus\S11\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S12,candidate,Metadata only; content and permissions pending,https://repositorio.minedu.gob.pe/handle/20.500.12799/6923,"200 años después : los escolares preguntan, los historiadores responden",Proyecto Especial Bicentenario de la Independencia del Perú,Unidad Ejecutora N° 019 - Bicentenario de la Independencia del Perú,2020-07,metadata,"200 años después : los escolares preguntan, los historiadores responden",UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,04ecc2ea8a7b13e00ed6b6b7d371aa5c7c79ca8505df21e32bcab60477c828dc,candidate,family-S12,No identity established; shared citations are not proof of independence or duplication.,escolares preguntan historiadores responden,outputs\beto-v2\corpus\S12\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S13,candidate,Metadata only; content and permissions pending,https://memoriaperu.bnp.gob.pe/micrositio/prensa-independencia,UNKNOWN,UNKNOWN,memoriaperu.bnp.gob.pe,UNKNOWN,metadata,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,ba306bf0c4c175bc0fe97d0b81a81ba0de9565a82e063119d8989c1345df5342,candidate,family-S13,No identity established; shared citations are not proof of independence or duplication.,prensa original 1811-1824,outputs\beto-v2\corpus\S13\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S14,candidate,Metadata only; content and permissions pending,https://fondosdocumentales.agn.gob.pe/index.php/jura-de-independencia-de-trujillo-y-cajamarca,UNKNOWN,UNKNOWN,fondosdocumentales.agn.gob.pe,UNKNOWN,metadata,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,bd5ab6b64549a1d013208d7ad356903e1e60a6eee81a3703a661a7955cf93451,candidate,family-S14,No identity established; shared citations are not proof of independence or duplication.,norte; actas primarias,outputs\beto-v2\corpus\S14\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
R01,rejected,Tema principal posterior a 1842; no rellenar cuota con antecedentes aislados,https://revistas.pucp.edu.pe/index.php/historica/article/view/25350,"El trabajo cautivo, la ley de 1849 y los inicios de la inmigración extranjera en el Perú republicano",Miguel Situ Chang,revistas.pucp.edu.pe,2021/12/01,metadata,"El trabajo cautivo, la ley de 1849 y los inicios de la inmigración extranjera en el Perú republicano",45/2,whole article/video; UNKNOWN for unacquired resource,Histórica,https://creativecommons.org/licenses/by/4.0/,,a59ba1e448b6fab7d36918784e30e87ae2b212448bf9f660a121aac056ac6f15,rejected,family-R01,No identity established; shared citations are not proof of independence or duplication.,trabajo cautivo ley 1849,outputs\beto-v2\corpus\R01\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
R02,rejected,Reseña y amplitud hasta bicentenario; no sustituir obra original por reseña para cubrir cuota,https://revistas.pucp.edu.pe/index.php/historica/article/view/27305,"Drinot, Paulo y Alberto Vergara (eds.). La condena de la libertad. De Túpac Amaru II al bicentenario peruano en seis ensayos y un colofón. Lima: Crítica, 2022, 520 pp., ilust.",Magally Alegre Henderson,revistas.pucp.edu.pe,2022/12/30,metadata,"Drinot, Paulo y Alberto Vergara (eds.). La condena de la libertad. De Túpac Amaru II al bicentenario peruano en seis ensayos y un colofón. Lima: Crítica, 2022, 520 pp., ilust.",46/2,whole article/video; UNKNOWN for unacquired resource,Histórica,https://creativecommons.org/licenses/by/4.0/,,025da2c7402fe7c2020364a9e01a199fd5fc2a4b3186c0bfba6b08e3b3df2fde,rejected,family-R02,No identity established; shared citations are not proof of independence or duplication.,reseña de La condena de la libertad,outputs\beto-v2\corpus\R02\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
R03,rejected,Ya incluido en evaluation-pilot-v2; no nuevo ni elegible para train,https://revistas.pucp.edu.pe/index.php/revistaira/article/view/26981,"José de San Martín y el espacio político indígena. Departamento de Lima, 1821-1822",Claudia Guarisco,revistas.pucp.edu.pe,2023/06/23,metadata,"José de San Martín y el espacio político indígena. Departamento de Lima, 1821-1822",8/1,whole article/video; UNKNOWN for unacquired resource,Revista del Instituto Riva-Agüero,https://creativecommons.org/licenses/by/4.0/,,9b9404396ec7acf365a526ebb2567a4273059e1e3a48105f3371e3a0f0a0ddf6,rejected,family-R03,No identity established; shared citations are not proof of independence or duplication.,San Martín y espacio indígena,outputs\beto-v2\corpus\R03\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S15,accepted_unlabeled,Cites Basadre 1983; citation does not establish duplication. Newspaper excerpts are embedded primary sources; rights and grouping need review.,https://revistas.cientifica.edu.pe/index.php/desdeelsur/article/view/890,El Mercado de esclavos en la ciudad de Lima desde el Mercurio Peruano 1827-1832,Marcel Velázquez | Gustavo Morales,revistas.cientifica.edu.pe,2021/12/31,pdf,El Mercado de esclavos en la ciudad de Lima desde el Mercurio Peruano 1827-1832,13/3,whole article/video; UNKNOWN for unacquired resource,Desde el Sur,http://creativecommons.org/licenses/by-nc-sa/4.0/,2da598be94dadcc8ec6bc9c97b1a31d26e01cb450ebf155b79c24f7ac42dba74,fa3dffade50cd5e5d195201c1ef2d5a3d59c6158c2ebcb91c664e757e538dd68,annotation_pool,family-S15,Cites Basadre 1983; citation does not establish duplication. Newspaper excerpts are embedded primary sources; rights and grouping need review.,mercado de esclavos y prensa 1827-1832,outputs\beto-v2\corpus\S15\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S16,blocked,"HTTPSConnectionPool(host='repositorio.pucp.edu.pe', port=443): Read timed out. (read timeout=30)",https://repositorio.pucp.edu.pe/items/ff0a73fa-dbae-452e-b613-3b5a9f73fc0b,"Una rebelión a la deriva : fisuras y represión realista en Tacna, 1811","Seiner Lizárraga, Lizardo",Pontificia Universidad Católica del Perú. Fondo Editorial,2013,metadata,"Una rebelión a la deriva : fisuras y represión realista en Tacna, 1811",UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,http://creativecommons.org/licenses/by-nc-nd/2.5/pe/,,8597aab87db00249f8054351b7cac4094249e714624bf9d2f6ba7ee7f253d5f7,reserved_candidate,family-S16,No identity established; shared citations are not proof of independence or duplication.,rebelión de Tacna 1811,outputs\beto-v2\corpus\S16\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S17,accepted_unlabeled,Severe OCR; visual collation required. Same author as other works is not proof of same documentary family.,https://revistas.pucp.edu.pe/index.php/historica/article/view/7839,Los negros de Lima: 1800-1830,Christine Hünefeldt,revistas.pucp.edu.pe,1979/07/01,pdf,Los negros de Lima: 1800-1830,3/1,whole article/video; UNKNOWN for unacquired resource,Histórica,https://creativecommons.org/licenses/by/4.0/,e62afe27bf509abe669d1e9340816b35f7a382b3d7bf182ba5b50cd26dca8c1b,37cae0530f8c84ae0db3b0e89e184d189e929a6890a02a0b377d90f422320282,annotation_pool,family-S17,Severe OCR; visual collation required. Same author as other works is not proof of same documentary family.,afrodescendientes Lima 1800-1830,outputs\beto-v2\corpus\S17\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S18,blocked,403 Forbidden en apertura primaria; no se intenta evadir,https://revistas.ucm.es/index.php/RCHA/article/view/RCHA1010110209A,UNKNOWN,UNKNOWN,revistas.ucm.es,UNKNOWN,metadata,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,,candidate,family-S18,No identity established; shared citations are not proof of independence or duplication.,clero revolución Cuzco 1814,outputs\beto-v2\corpus\S18\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
